price,odometer,state,lat,long,Odometer_Price_Ratio,Man_dep_OP,condition_excellent,condition_fair,condition_good,condition_like new,condition_new,fuel_diesel,fuel_electric,fuel_gas,fuel_hybrid,fuel_other,transmission_automatic,transmission_manual,transmission_other,drive_4wd,drive_fwd,drive_rwd,type_freq,manufacturer_freq,paint_color_freq,car_age_freq,cylinders_freq,cluster
55000,167000,ak,61.19,-149.8938,3.036363636363636,29.61564827359148,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.1239485751258896,0.1721242298928179,0.2232818521956845,0.0707935972093285,0.2726109095000985,3
12000,85000,ak,61.5923,-149.3959,7.083333333333333,30.536276878399256,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0632683489464652,0.0190311418685121,0.1031310659127352,0.0005907671533462,0.2726109095000985,3
16000,53111,ak,61.195643,-149.88699,3.3194375,28.39388205789908,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.0529439896475089,0.2232818521956845,0.0356007539314147,0.347399217936816,3
4000,123456,ak,61.5985,-149.1164,30.864,29.61564827359148,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0254733170169071,0.1721242298928179,0.1031310659127352,0.0010127436914507,0.2726109095000985,3
29000,98000,ak,61.11346,-149.892154,3.3793103448275863,29.61564827359148,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.0839030016597743,0.1721242298928179,0.2232818521956845,0.0494415843812417,0.2726109095000985,3
23000,94252,ak,61.20671,-149.905529,4.097913043478261,31.87811834220981,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.0839030016597743,0.0915548428840689,0.1515458407179227,0.0707935972093285,0.3593974175035868,3
10000,42000,ak,61.5923,-149.3959,4.2,29.61564827359148,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0632683489464652,0.1721242298928179,0.1119644414437223,0.0016316426140039,0.2726109095000985,3
13950,193121,ak,61.48076,-148.798828,13.84379928315412,29.45010485825107,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.1239485751258896,0.1393225869974962,0.1820266126536698,0.0534222297240273,0.2726109095000985,3
2000,136500,ak,61.5463,-149.5901,68.25,29.45010485825107,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.0839030016597743,0.1393225869974962,0.1119644414437223,0.0144456634877767,0.3593974175035868,3
13400,76888,ak,61.155164,-149.891716,5.737910447761194,33.24576176710301,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.0274284749767912,0.0650828480603145,0.1515458407179227,0.0639716431766393,0.3593974175035868,3
