price,odometer,state,lat,long,Odometer_Price_Ratio,Man_dep_OP,condition_excellent,condition_fair,condition_good,condition_like new,condition_new,fuel_diesel,fuel_electric,fuel_gas,fuel_hybrid,fuel_other,transmission_automatic,transmission_manual,transmission_other,drive_4wd,drive_fwd,drive_rwd,type_freq,manufacturer_freq,paint_color_freq,car_age_freq,cylinders_freq,cluster
24990,46463,al,40.468785,-74.281707,1.8592637054821928,29.61564827359148,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.1239485751258896,0.1721242298928179,0.2232818521956845,0.0534222297240273,0.0047683348805806,4
33990,12398,al,40.468785,-74.281707,0.364754339511621,29.45010485825107,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.1239485751258896,0.1393225869974962,0.2232818521956845,0.0477255464596168,0.2726109095000985,4
20990,134296,al,40.468785,-74.281707,6.398094330633635,29.45010485825107,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0.1239485751258896,0.1393225869974962,0.2232818521956845,0.0462064309224407,0.2726109095000985,4
27990,83459,al,40.468785,-74.281707,2.98174347981422,29.61564827359148,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.1239485751258896,0.1721242298928179,0.2232818521956845,0.0579936422201592,0.2726109095000985,4
33990,136250,al,40.468785,-74.281707,4.00853192115328,29.61564827359148,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0.1239485751258896,0.1721242298928179,0.2232818521956845,0.0635074689847244,0.2726109095000985,4
22990,121911,al,40.468785,-74.281707,5.302783819051761,29.61564827359148,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.1239485751258896,0.1721242298928179,0.2232818521956845,0.0494415843812417,0.0047683348805806,4
24990,136965,al,40.468785,-74.281707,5.48079231692677,23.946222783330985,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.1239485751258896,0.0364728387768306,0.2232818521956845,0.0456578614229048,0.2726109095000985,4
24990,72789,al,40.468785,-74.281707,2.912725090036014,29.45010485825107,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.1239485751258896,0.1393225869974962,0.2232818521956845,0.0411286465805834,0.2726109095000985,4
25990,73360,al,40.468785,-74.281707,2.822624086186995,29.45010485825107,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.1239485751258896,0.1393225869974962,0.2232818521956845,0.0462064309224407,0.2726109095000985,4
29990,137481,al,40.468785,-74.281707,4.584228076025342,29.61564827359148,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0.1239485751258896,0.1721242298928179,0.2232818521956845,0.0602160519875095,0.2726109095000985,4
33990,77581,al,40.468785,-74.281707,2.28246543100912,29.45010485825107,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.1239485751258896,0.1393225869974962,0.2232818521956845,0.0534222297240273,0.2726109095000985,4
21990,45554,al,40.468785,-74.281707,2.0715779899954523,29.61564827359148,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.1239485751258896,0.1721242298928179,0.2232818521956845,0.0397220581202351,0.2726109095000985,4
49990,152701,al,40.468785,-74.281707,3.054630926185237,29.61564827359148,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0.1239485751258896,0.1721242298928179,0.2232818521956845,0.059386164795904,0.2726109095000985,4
26990,166302,al,40.468785,-74.281707,6.161615413115969,31.393963540932194,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0.1239485751258896,0.006498438686809,0.2232818521956845,0.0083973331082791,0.347399217936816,4
26990,75734,al,40.468785,-74.281707,2.806002223045573,29.45010485825107,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.1239485751258896,0.1393225869974962,0.2232818521956845,0.0477255464596168,0.2726109095000985,4
27490,96626,al,40.468785,-74.281707,3.5149508912331755,31.393963540932194,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0.1239485751258896,0.006498438686809,0.0342644948940838,0.0462064309224407,0.347399217936816,4
28490,70643,al,40.468785,-74.281707,2.4795717795717795,31.393963540932194,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0.1239485751258896,0.006498438686809,0.0342644948940838,0.0579936422201592,0.347399217936816,4
33990,49678,al,40.468785,-74.281707,1.4615475139746985,29.61564827359148,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0.1239485751258896,0.1721242298928179,0.2232818521956845,0.0639716431766393,0.2726109095000985,4
46990,17619,al,40.468785,-74.281707,0.3749521174718025,15.511811324673186,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0.1239485751258896,0.0298759388977972,0.2232818521956845,0.0477255464596168,0.3593974175035868,4
44990,52307,al,40.468785,-74.281707,1.1626361413647477,29.61564827359148,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0.1239485751258896,0.1721242298928179,0.2232818521956845,0.0639716431766393,0.2726109095000985,4
44990,80733,al,40.468785,-74.281707,1.7944654367637252,15.511811324673186,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0.1239485751258896,0.0298759388977972,0.2232818521956845,0.059386164795904,0.3593974175035868,4
20990,121850,al,40.468785,-74.281707,5.805145307289186,15.511811324673186,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.1239485751258896,0.0298759388977972,0.1820266126536698,0.0494415843812417,0.2726109095000985,4
26990,100921,al,40.468785,-74.281707,3.739199703593924,29.45010485825107,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.1239485751258896,0.1393225869974962,0.2232818521956845,0.0579936422201592,0.2726109095000985,4
52990,15886,al,40.468785,-74.281707,0.2997924136629553,29.61564827359148,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0.1239485751258896,0.1721242298928179,0.2232818521956845,0.0635074689847244,0.2726109095000985,4
35990,42213,al,40.468785,-74.281707,1.1729091414281745,29.61564827359148,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.1239485751258896,0.1721242298928179,0.2232818521956845,0.0635074689847244,0.0047683348805806,4
27990,123622,al,40.468785,-74.281707,4.41664880314398,29.61564827359148,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0.1239485751258896,0.1721242298928179,0.2232818521956845,0.0602160519875095,0.3593974175035868,4
14990,67820,al,40.468785,-74.281707,4.524349566377585,29.61564827359148,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.1239485751258896,0.1721242298928179,0.2232818521956845,0.0639716431766393,0.2726109095000985,4
59990,31337,al,40.468785,-74.281707,0.5223703950658443,29.61564827359148,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0.1239485751258896,0.1721242298928179,0.2232818521956845,0.0456578614229048,0.2726109095000985,4
31990,59429,al,40.468785,-74.281707,1.8577367927477333,29.61564827359148,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0.1239485751258896,0.1721242298928179,0.1031310659127352,0.0462064309224407,0.2726109095000985,4
18990,32988,al,40.468785,-74.281707,1.7371248025276462,29.61564827359148,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0274284749767912,0.1721242298928179,0.2232818521956845,0.0494415843812417,0.2726109095000985,4
