price,odometer,state,lat,long,Odometer_Price_Ratio,Man_dep_OP,condition_excellent,condition_fair,condition_good,condition_like new,condition_new,fuel_diesel,fuel_electric,fuel_gas,fuel_hybrid,fuel_other,transmission_automatic,transmission_manual,transmission_other,drive_4wd,drive_fwd,drive_rwd,type_freq,manufacturer_freq,paint_color_freq,car_age_freq,cylinders_freq,cluster
11950,128168,ak,47.2665,-122.0314,10.725355648535563,23.946222783330985,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.1239485751258896,0.0364728387768306,0.2232818521956845,0.0187216924072354,0.2726109095000985,2
15000,80000,ak,47.4179,-122.631,5.333333333333333,29.45010485825107,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0.1239485751258896,0.1393225869974962,0.2232818521956845,0.0014909837679691,0.2726109095000985,2
22950,209121,ak,47.2665,-122.0314,9.11202614379085,29.61564827359148,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.1239485751258896,0.1721242298928179,0.1119644414437223,0.0239401355951275,0.2726109095000985,2
11500,112544,ak,44.033653,-121.327686,9.786434782608696,17.462093011717556,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.2894196416012603,0.0180605958308718,0.2232818521956845,0.0060764621487045,0.2726109095000985,2
72777,32158,ak,47.197304,-122.291776,0.4418703711337373,29.61564827359148,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.0839030016597743,0.1721242298928179,0.1207978169747095,0.0356007539314147,0.2726109095000985,2
9000,144000,ak,16.008624,-138.398587,16.0,29.61564827359148,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.1721242298928179,0.1119644414437223,0.0411286465805834,0.2726109095000985,2
19000,21700,ak,33.8797,-117.5354,1.1421052631578947,25.49294327137502,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.0283286915914141,0.2232818521956845,0.023982333248938,0.347399217936816,2
4000,21751,ak,33.8797,-117.5354,5.43775,25.49294327137502,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.0283286915914141,0.2232818521956845,0.023982333248938,0.347399217936816,2
4500,206544,ak,55.5526,-133.0555,45.89866666666666,35.04687275675114,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.2894196416012603,0.0107322699524573,0.0342644948940838,0.0060764621487045,0.3593974175035868,2
14449,45000,ak,55.372,-131.6832,3.1144023807875976,26.38977874398792,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.0456719273075083,0.1031310659127352,0.0635074689847244,0.347399217936816,2
4850,122100,az,34.727929,-112.015915,25.17525773195876,33.24576176710301,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0.027245618476946,0.0650828480603145,0.1119644414437223,0.0534222297240273,0.3593974175035868,2
19995,94665,az,39.494492,-119.78862,4.7344336084021,25.49294327137502,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.2894196416012603,0.0283286915914141,0.2232818521956845,0.0707935972093285,0.347399217936816,2
33995,22500,az,39.494492,-119.78862,0.6618620385350786,26.513447128918784,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.2894196416012603,0.0330126311643739,0.1820266126536698,0.0494415843812417,0.2726109095000985,2
36500,21000,az,34.988097,-111.622124,0.5753424657534246,26.38977874398792,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.0456719273075083,0.2232818521956845,0.0707935972093285,0.3593974175035868,2
7500,275134,az,33.684238,-112.102735,36.68453333333333,29.61564827359148,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.1721242298928179,0.1820266126536698,0.0144456634877767,0.0047683348805806,2
17997,150564,az,33.684238,-112.102735,8.36606101016836,29.45010485825107,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.0839030016597743,0.1393225869974962,0.1207978169747095,0.0579936422201592,0.2726109095000985,2
29997,23904,az,33.684238,-112.102735,0.7968796879687969,29.45010485825107,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.0839030016597743,0.1393225869974962,0.2232818521956845,0.059386164795904,0.2726109095000985,2
27497,80439,az,33.684238,-112.102735,2.9253736771284142,26.38977874398792,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.0456719273075083,0.1820266126536698,0.0477255464596168,0.3593974175035868,2
6900,171000,az,35.387623,-111.384791,24.782608695652176,25.49294327137502,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.0254733170169071,0.0283286915914141,0.1119644414437223,0.0579936422201592,0.347399217936816,2
12635,156000,az,35.200155,-111.650791,12.346656113969134,29.45010485825107,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.1393225869974962,0.1031310659127352,0.0132359974118772,0.2726109095000985,2
3000,28902,az,35.387623,-111.384791,9.634,29.45010485825107,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0632683489464652,0.1393225869974962,0.2232818521956845,0.0008017554223985,0.3593974175035868,2
8500,180000,az,35.387623,-111.384791,21.176470588235293,29.61564827359148,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.1239485751258896,0.1721242298928179,0.1207978169747095,0.0462064309224407,0.2726109095000985,2
15000,92000,az,34.5697,-111.8551,6.133333333333334,12.000728253729584,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.259515570934256,0.0040791065350099,0.1119644414437223,0.0602160519875095,0.2726109095000985,2
