price,odometer,state,lat,long,Odometer_Price_Ratio,Man_dep_OP,condition_excellent,condition_fair,condition_good,condition_like new,condition_new,fuel_diesel,fuel_electric,fuel_gas,fuel_hybrid,fuel_other,transmission_automatic,transmission_manual,transmission_other,drive_4wd,drive_fwd,drive_rwd,type_freq,manufacturer_freq,paint_color_freq,car_age_freq,cylinders_freq,cluster
18500,44000,al,-81.838232,-113.229218,2.3783783783783785,42.42961958439378,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.259515570934256,0.0154584071792275,0.1031310659127352,0.0477255464596168,0.3593974175035868,1
21900,100851,ak,42.1898,-91.7758,4.605068493150685,29.45010485825107,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0.0274284749767912,0.1393225869974962,0.1820266126536698,0.0411286465805834,0.2726109095000985,1
23900,43242,ak,42.1898,-91.7758,1.8092887029288705,29.45010485825107,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0348552620474301,0.1393225869974962,0.1820266126536698,0.0397220581202351,0.2726109095000985,1
14500,80240,az,13.497937,-98.986131,5.533793103448276,26.38977874398792,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.005218443187892,0.0456719273075083,0.0342644948940838,0.0347568008552057,0.3593974175035868,1
18000,100000,az,36.405581,-105.58852,5.555555555555555,31.393963540932194,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.0274284749767912,0.006498438686809,0.0342644948940838,0.0048808619574085,0.347399217936816,1
14000,102000,az,36.419715,-105.578811,7.285714285714286,31.87811834220981,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.0274284749767912,0.0915548428840689,0.0308464849354375,0.0029819675359383,0.347399217936816,1
14000,125000,az,36.423858,-105.580728,8.928571428571429,31.87811834220981,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0.0274284749767912,0.0915548428840689,0.0308464849354375,0.0060764621487045,0.347399217936816,1
9000,122000,az,37.13284,-95.78558,13.555555555555555,33.24576176710301,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.259515570934256,0.0650828480603145,0.1119644414437223,0.0602160519875095,0.347399217936816,1
16500,12343,az,40.3963,-104.5288,0.7480606060606061,29.937915525016496,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0632683489464652,0.0141080822572931,0.1119644414437223,0.0010549413452612,0.2726109095000985,1
5800,244000,az,31.9344,-106.5929,42.06896551724138,28.39388205789908,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.0839030016597743,0.0529439896475089,0.2232818521956845,0.0462064309224407,0.2726109095000985,1
